what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.datatools.sqltools.tabledataeditor,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.tabledataeditor",1361861355739
stopped,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.2.0.v201002281800,"org.eclipse.datatools.connectivity.sqm.core.ui",1361861355740
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.200.v201004290730,"org.eclipse.jst.j2ee.ejb.annotations.ui",1361861355741
stopped,bundle,org.jboss.tools.project.examples.cheatsheet,1.1.0.v20110729-2054-H147-Final,"org.jboss.tools.project.examples.cheatsheet",1361861355742
stopped,bundle,org.jboss.tools.project.examples,1.2.1.v20110729-2054-H147-Final,"org.jboss.tools.project.examples",1361861355742
stopped,bundle,org.jboss.tools.runtime,1.2.0.v20110801-1251-H353-Final,"org.jboss.tools.runtime",1361861355742
stopped,bundle,org.jboss.tools.seam.text.ext,3.2.1.v20110730-1321-H261-Final,"org.jboss.tools.seam.text.ext",1361861355743
stopped,bundle,org.jboss.tools.seam.core,3.2.1.v20110730-1321-H261-Final,"org.jboss.tools.seam.core",1361861355743
stopped,bundle,org.teiid.designer.modelgenerator.salesforce.ui,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.modelgenerator.salesforce.ui",1361861355744
stopped,bundle,org.teiid.designer.modelgenerator.wsdl.ui,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.modelgenerator.wsdl.ui",1361861355744
stopped,bundle,org.teiid.designer.datatools.ui,7.4.1.v20110801-0937-H589-Final,"org.teiid.designer.datatools.ui",1361861355745
stopped,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.ui.dse",1361861355746
stopped,bundle,org.eclipse.birt.report.designer.ui.editor.script,2.6.2.r262_v20110127,"org.eclipse.birt.report.designer.ui.editor.script",1361861355747
stopped,bundle,org.eclipse.birt.report.designer.ui.editor.xml.wtp,2.6.2.r262_v20110127,"org.eclipse.birt.report.designer.ui.editor.xml.wtp",1361861355747
stopped,bundle,org.eclipse.birt.chart.reportitem.ui,2.6.2.r262_v20110127,"org.eclipse.birt.chart.reportitem.ui",1361861355748
stopped,bundle,org.eclipse.birt.report.item.crosstab.ui,2.6.2.r262_v20110127,"org.eclipse.birt.report.item.crosstab.ui",1361861355749
stopped,bundle,org.eclipse.birt.report.designer.ui.ide,2.6.2.r262_v20110127,"org.eclipse.birt.report.designer.ui.ide",1361861355750
stopped,bundle,org.eclipse.birt.report.designer.ui.lib.explorer,2.6.2.r262_v20110127,"org.eclipse.birt.report.designer.ui.lib.explorer",1361861355752
stopped,bundle,org.eclipse.birt.report.designer.ui.lib,2.6.2.r262_v20110127,"org.eclipse.birt.report.designer.ui.lib",1361861355753
stopped,bundle,org.eclipse.birt.report.designer.ui.editors.schematic,2.6.2.r262_v20110127,"org.eclipse.birt.report.designer.ui.editors.schematic",1361861355754
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1361861355755
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1361861355755
stopped,bundle,org.hibernate.eclipse.jdt.apt.ui,3.4.0.v20110729-2006-H171-Final,"org.hibernate.eclipse.jdt.apt.ui",1361861355756
stopped,bundle,org.hibernate.eclipse.jdt.ui,3.4.1.v20110729-2006-H171-Final,"org.hibernate.eclipse.jdt.ui",1361861355757
stopped,bundle,org.hibernate.eclipse.mapper,3.4.1.v20110729-2006-H171-Final,"org.hibernate.eclipse.mapper",1361861355757
stopped,bundle,org.jboss.tools.birt.oda.ui,1.1.0.v20110729-1955-H157-Final,"org.jboss.tools.birt.oda.ui",1361861355758
stopped,bundle,org.jboss.tools.hibernate.jpt.core,3.4.1.v20110729-2006-H171-Final,"org.jboss.tools.hibernate.jpt.core",1361861355778
